,Country Name,Country Code,Year,Population_male,Population_female,Population_total
0,Afghanistan,AFG,2000,9815442,9727541,19542982
1,Albania,ALB,2000,1531486,1557540,3089027
2,Algeria,DZA,2000,15698203,15076418,30774621
3,American Samoa,ASM,2000,29657,28572,58230
4,Andorra,AND,2000,34285,31812,66097
5,Angola,AGO,2000,8054751,8339311,16394062
6,Antigua and Barbuda,ATG,2000,35307,39748,75055
7,Argentina,ARG,2000,18280746,18790028,37070774
8,Armenia,ARM,2000,1496293,1672231,3168523
9,Aruba,ABW,2000,42833,46269,89101
10,Australia,AUS,2000,9443035,9585767,19028802
11,Austria,AUT,2000,3874820,4136746,8011566
12,Azerbaijan,AZE,2000,3868986,4179613,8048600
13,"Bahamas, The",BHS,2000,158879,166136,325014
14,Bahrain,BHR,2000,419570,291872,711442
15,Bangladesh,BGD,2000,65883360,63309967,129193327
16,Barbados,BRB,2000,126860,137797,264657
17,Belarus,BLR,2000,4648837,5330773,9979610
18,Belgium,BEL,2000,5012963,5238286,10251250
19,Belize,BLZ,2000,121540,118866,240406
20,Benin,BEN,2000,3468525,3529498,6998023
21,Bermuda,BMU,2000,30126,31707,61833
22,Bhutan,BTN,2000,305835,281372,587207
23,Bolivia,BOL,2000,4339846,4252810,8592656
24,Bosnia and Herzegovina,BIH,2000,2038674,2140676,4179350
25,Botswana,BWA,2000,837941,889044,1726985
26,Brazil,BRA,2000,87124330,88749390,175873720
27,British Virgin Islands,VGB,2000,10327,9777,20104
28,Brunei Darussalam,BRN,2000,175917,158010,333926
29,Bulgaria,BGR,2000,3936609,4233564,8170172
30,Burkina Faso,BFA,2000,5850935,6031953,11882888
31,Burundi,BDI,2000,3105481,3202178,6307659
32,Cabo Verde,CPV,2000,222518,235732,458251
33,Cambodia,KHM,2000,5956510,6162331,12118841
34,Cameroon,CMR,2000,7488888,7602707,15091594
35,Canada,CAN,2000,15193559,15492171,30685730
36,Cayman Islands,CYM,2000,19468,20191,39658
37,Central African Republic,CAF,2000,1890780,1868390,3759170
38,Chad,TCD,2000,4111592,4147546,8259137
39,Channel Islands,CHI,2000,70420,74886,145306
40,Chile,CHL,2000,7627655,7724143,15351799
41,China,CHN,2000,645562937,617082063,1262645000
42,Colombia,COL,2000,19469885,19745251,39215135
43,Comoros,COM,2000,266733,270024,536758
