,Country Code,Year,Median_age
0,AFG,2000,14.1
1,ALB,2000,26.3
2,DZA,2000,20.7
3,ASM,2000,19.6
4,AND,2000,36.6
5,AGO,2000,15.6
6,ATG,2000,27.3
7,ARG,2000,26.8
8,ARM,2000,28.7
9,ABW,2000,33.0
10,AUS,2000,34.4
11,AUT,2000,37.1
12,AZE,2000,24.5
13,BHS,2000,25.7
14,BHR,2000,25.0
15,BGD,2000,19.7
16,BRB,2000,32.4
17,BLR,2000,35.5
18,BEL,2000,37.9
19,BLZ,2000,18.6
20,BEN,2000,16.2
21,BMU,2000,35.8
22,BTN,2000,19.3
23,BOL,2000,19.6
24,BIH,2000,32.9
25,BWA,2000,18.4
26,BRA,2000,24.3
27,VGB,2000,29.8
28,BRN,2000,22.3
29,BGR,2000,38.6
30,BFA,2000,15.4
31,BDI,2000,14.7
32,KHM,2000,18.1
33,CMR,2000,16.0
34,CAN,2000,35.8
35,CPV,2000,17.1
36,CYM,2000,32.1
37,CAF,2000,15.8
38,TCD,2000,14.6
39,CHI,2000,
40,CHL,2000,27.9
41,CHN,2000,28.9
42,COL,2000,23.0
43,COM,2000,15.7
44,COG,2000,17.3
45,CRI,2000,24.5
46,CIV,2000,16.3
47,HRV,2000,37.9
48,CUB,2000,32.1
49,CUW,2000,33.2
50,CYP,2000,30.6
51,CZE,2000,36.4
52,COD,2000,15.8
53,DNK,2000,37.3
54,DJI,2000,19.0
55,DMA,2000,26.6
56,DOM,2000,21.3
57,TLS,2000,17.3
58,ECU,2000,21.1
59,EGY,2000,20.0
60,SLV,2000,20.2
61,GNQ,2000,17.9
62,ERI,2000,16.2
63,EST,2000,37.0
64,SWZ,2000,16.2
65,ETH,2000,15.1
66,FRO,2000,33.8
67,FJI,2000,21.1
68,FIN,2000,38.4
69,FRA,2000,36.8
70,PYF,2000,24.3
71,GAB,2000,18.2
72,GMB,2000,15.9
73,GEO,2000,32.4
74,DEU,2000,39.0
75,GHA,2000,17.1
76,GIB,2000,36.8
77,GRC,2000,37.3
78,GRL,2000,31.2
79,GRD,2000,23.1
80,GUM,2000,26.4
81,GTM,2000,16.7
82,GIN,2000,16.3
83,GNB,2000,16.2
84,GUY,2000,21.2
85,HTI,2000,18.3
86,HIC,2000,35.2
87,HND,2000,17.1
88,HKG,2000,35.1
89,HUN,2000,37.5
90,ISL,2000,31.9
91,IND,2000,21.6
92,IDN,2000,23.7
93,IRN,2000,20.7
94,IRQ,2000,17.0
95,IRL,2000,31.5
96,IMN,2000,38.4
97,ISR,2000,26.7
98,ITA,2000,39.2
99,JAM,2000,22.1
100,JPN,2000,40.7
101,JOR,2000,18.6
102,KAZ,2000,26.7
103,KEN,2000,15.6
104,KIR,2000,18.4
105,XKX,2000,20.8
106,KWT,2000,25.1
107,KGZ,2000,20.9
108,LAO,2000,17.3
109,LCN,2000,23.2
110,LVA,2000,37.0
111,LDC,2000,17.0
112,LBN,2000,23.2
113,LSO,2000,18.5
114,LBR,2000,17.5
115,LBY,2000,21.5
116,LIE,2000,35.3
117,LTU,2000,35.1
118,LIC,2000,16.0
119,LMC,2000,20.8
120,LUX,2000,36.2
121,MAC,2000,31.9
122,MDG,2000,16.3
123,MWI,2000,16.0
124,MYS,2000,22.9
125,MDV,2000,17.8
126,MLI,2000,15.4
127,MLT,2000,35.8
128,MHL,2000,16.0
129,MRT,2000,16.6
130,MUS,2000,27.9
131,MEX,2000,21.8
132,FSM,2000,17.9
133,MDA,2000,31.6
134,MCO,2000,44.6
135,MNG,2000,20.7
136,MNE,2000,32.2
137,MAR,2000,21.3
138,MOZ,2000,16.6
139,MMR,2000,22.9
140,NAM,2000,17.9
141,NRU,2000,19.0
142,NPL,2000,18.4
143,NLD,2000,36.4
