COUNTRY,Country,SEX,YEAR,Value
LUX,Luxembourg,F,2000,
LUX,Luxembourg,F,2005,
LUX,Luxembourg,F,2006,
LUX,Luxembourg,F,2007,
LUX,Luxembourg,F,2008,
LUX,Luxembourg,F,2009,
LUX,Luxembourg,F,2010,
LUX,Luxembourg,F,2011,
LUX,Luxembourg,F,2012,
LUX,Luxembourg,F,2013,
LUX,Luxembourg,F,2014,35.167469
LUX,Luxembourg,F,2015,32.602852
LUX,Luxembourg,F,2016,33.665104
LUX,Luxembourg,F,2017,32.953224
LUX,Luxembourg,F,2018,31.285425
LUX,Luxembourg,F,2019,19.714621
LUX,Luxembourg,F,2020,20.055231
LUX,Luxembourg,F,2021,28.017912
FRA,France,F,2000,
FRA,France,F,2001,
FRA,France,F,2002,
FRA,France,F,2003,
FRA,France,F,2004,
FRA,France,F,2005,
FRA,France,F,2006,
FRA,France,F,2007,
FRA,France,F,2008,
FRA,France,F,2009,
FRA,France,F,2010,
FRA,France,F,2011,
FRA,France,F,2012,
FRA,France,F,2013,39.778656
FRA,France,F,2014,40.399578
FRA,France,F,2015,40.231209
FRA,France,F,2016,40.52177
FRA,France,F,2017,40.116131
FRA,France,F,2018,39.416222
FRA,France,F,2019,39.879951
FRA,France,F,2020,39.013515
FRA,France,F,2021,38.516998
BRA,Brazil,F,2014,0.15018289
BRA,Brazil,F,2015,0.15187512
BRA,Brazil,F,2016,0.13536917
BRA,Brazil,F,2017,0.1357681
BRA,Brazil,F,2018,0.1361421
BRA,Brazil,F,2019,0.13810334
BRA,Brazil,F,2020,0.15354134
JPN,Japan,F,2000,
JPN,Japan,F,2001,
JPN,Japan,F,2002,
JPN,Japan,F,2003,
JPN,Japan,F,2004,
JPN,Japan,F,2005,
JPN,Japan,F,2006,
JPN,Japan,F,2007,
JPN,Japan,F,2008,
JPN,Japan,F,2009,
JPN,Japan,F,2010,
JPN,Japan,F,2011,
JPN,Japan,F,2012,
JPN,Japan,F,2013,
JPN,Japan,F,2014,51.766178
JPN,Japan,F,2015,50.475887
JPN,Japan,F,2016,49.340199
JPN,Japan,F,2017,47.848591
JPN,Japan,F,2018,47.158718
JPN,Japan,F,2019,46.098122
JPN,Japan,F,2020,44.835602
JPN,Japan,F,2021,42.966667
CZE,Czechia,F,2000,
CZE,Czechia,F,2001,
CZE,Czechia,F,2002,
CZE,Czechia,F,2003,
CZE,Czechia,F,2004,
CZE,Czechia,F,2005,
CZE,Czechia,F,2006,
CZE,Czechia,F,2007,
CZE,Czechia,F,2008,
CZE,Czechia,F,2009,
CZE,Czechia,F,2010,
CZE,Czechia,F,2011,
CZE,Czechia,F,2012,
CZE,Czechia,F,2013,
CZE,Czechia,F,2014,68.810608
CZE,Czechia,F,2015,67.837448
CZE,Czechia,F,2016,67.758606
CZE,Czechia,F,2017,66.911522
CZE,Czechia,F,2018,66.496178
CZE,Czechia,F,2019,66.546837
CZE,Czechia,F,2020,65.980049
CZE,Czechia,F,2021,64.034508
BRA,Brazil,F,2000,
BRA,Brazil,F,2001,
BRA,Brazil,F,2002,
BRA,Brazil,F,2003,
BRA,Brazil,F,2004,
BRA,Brazil,F,2005,
BRA,Brazil,F,2006,
BRA,Brazil,F,2007,
BRA,Brazil,F,2008,
BRA,Brazil,F,2009,
BRA,Brazil,F,2010,
BRA,Brazil,F,2011,
BRA,Brazil,F,2012,
BRA,Brazil,F,2013,
BRA,Brazil,F,2014,33.868336
BRA,Brazil,F,2015,34.91124
BRA,Brazil,F,2016,34.874931
BRA,Brazil,F,2017,35.464264
BRA,Brazil,F,2018,35.782215
BRA,Brazil,F,2019,36.775532
BRA,Brazil,F,2020,38.185505
BRA,Brazil,F,2021,
GRC,Greece,F,2000,26.645555
GRC,Greece,F,2001,27.79158
GRC,Greece,F,2002,28.898863
GRC,Greece,F,2003,29.211292
GRC,Greece,F,2004,29.103077
GRC,Greece,F,2005,29.523567
GRC,Greece,F,2006,29.788372
GRC,Greece,F,2007,30.426985
GRC,Greece,F,2008,30.482553
GRC,Greece,F,2009,30.113546
GRC,Greece,F,2010,30.402746
GRC,Greece,F,2011,31.079428
GRC,Greece,F,2012,31.537148
GRC,Greece,F,2013,32.128002
GRC,Greece,F,2014,32.003796
GRC,Greece,F,2015,32.455326
GRC,Greece,F,2016,31.470535
GRC,Greece,F,2017,31.206846
GRC,Greece,F,2018,30.865625
GRC,Greece,F,2019,31.76963
GRC,Greece,F,2020,32.468609
GRC,Greece,F,2021,32.803596
